t,y(t)
0.0,0.0
1.0,0.0833333333333357
2.0,0.1666666666666643
3.0,0.25
4.0,0.3333333333333286
5.0,0.4166666666666643
6.0,0.5
7.0,0.5833333333333286
8.0,0.6666666666666714
9.0,0.75
10.0,0.8333333333333357
11.0,0.9166666666666714
12.0,1.000000000000007
13.0,1.0833333333333428
14.0,1.1666666666666714
15.0,1.250000000000007
16.0,1.3333333333333428
17.0,1.4166666666666714
18.0,1.500000000000007
19.0,1.5833333333333357
20.0,1.6666666666666714
21.0,1.750000000000007
22.0,1.8333333333333357
23.0,1.9166666666666785
24.0,2.000000000000007
25.0,2.083333333333343
26.0,2.1666666666666714
27.0,2.250000000000007
28.0,2.3333333333333357
29.0,2.4166666666666643
30.0,2.5
31.0,2.5833333333333357
32.0,2.6666666666666643
33.0,2.75
34.0,2.8333333333333286
35.0,2.9166666666666643
36.0,3.0
37.0,3.0833333333333286
38.0,3.1666666666666714
39.0,3.25
40.0,3.3333333333333357
41.0,3.4166666666666714
42.0,3.5
43.0,3.5833333333333357
44.0,3.6666666666666643
45.0,3.75
46.0,3.8333333333333357
47.0,3.9166666666666643
48.0,4.0
49.0,4.083333333333329
50.0,4.166666666666664
51.0,4.25
52.0,4.333333333333329
53.0,4.416666666666671
54.0,4.5
55.0,4.583333333333336
56.0,4.666666666666671
57.0,4.75
58.0,4.833333333333336
59.0,4.916666666666664
60.0,5.0
61.0,5.083333333333336
62.0,5.166666666666664
63.0,5.25
64.0,5.333333333333329
65.0,5.416666666666664
66.0,5.5
67.0,5.583333333333329
68.0,5.666666666666671
69.0,5.75
70.0,5.833333333333336
71.0,5.916666666666671
72.0,6.0
73.0,6.083333333333336
74.0,6.166666666666664
75.0,6.25
76.0,6.333333333333336
77.0,6.416666666666664
78.0,6.5
79.0,6.583333333333329
80.0,6.666666666666664
81.0,6.75
82.0,6.833333333333329
83.0,6.916666666666671
84.0,7.0
85.0,7.083333333333336
86.0,7.166666666666671
87.0,7.25
88.0,7.333333333333336
89.0,7.416666666666664
90.0,7.5
91.0,7.583333333333336
92.0,7.666666666666664
93.0,7.75
94.0,7.833333333333329
95.0,7.916666666666664
96.0,8.0
97.0,8.083333333333332
98.0,8.166666666666668
99.0,8.25
100.0,8.333333333333336
101.0,8.416666666666668
